formula,phase,composition_obj,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
AgAlCoCrCuNi,3,Ag1 Al1 Co1 Cr1 Cu1 Ni1,6,0.408248290463863,0.3028534321386899,0.23849484685087588,0.2152847236817911,0.1993718664752192,13.0,47.0,34.0,28.0,6.666666666666667,13.0,49.0,73.0,24.0,61.666666666666664,5.666666666666667,49.0,26.9815386,107.8682,80.88666140000001,61.3364056,16.247129599999997,26.9815386,933.47,2180.0,1246.53,1533.695,358.305,933.47,6.0,13.0,7.0,10.0,1.6666666666666667,6.0,3.0,5.0,2.0,4.0,0.3333333333333333,3.0,121.0,145.0,24.0,131.16666666666666,7.5,121.0,1.61,1.93,0.31999999999999984,1.8150000000000002,0.11999999999999988,1.61,1.0,2.0,1.0,1.5,0.5,1.0,0.0,1.0,1.0,0.16666666666666666,0.27777777777777785,0.0,0.0,10.0,10.0,6.666666666666667,2.7777777777777772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,8.333333333333334,2.5555555555555554,3.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,5.0,5.0,0.8333333333333334,1.3888888888888886,0.0,0.0,5.0,5.0,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3.0,1.6666666666666667,1.0,10.245,16.48,6.235000000000001,12.605833333333331,2.532777777777777,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.3573109833333334,0.4764146444444444,0.0,194.0,229.0,35.0,220.5,8.833333333333334,194.0
AgCoCrFeMnNi,1,Ag1 Co1 Cr1 Fe1 Mn1 Ni1,6,0.408248290463863,0.3028534321386899,0.23849484685087588,0.2152847236817911,0.1993718664752192,24.0,47.0,23.0,29.5,5.833333333333333,24.0,49.0,65.0,16.0,56.666666666666664,4.666666666666667,49.0,51.9961,107.8682,55.8721,64.71232333333334,14.385292222222231,51.9961,1234.93,2180.0,945.0699999999999,1706.8216666666667,219.9044444444444,1234.93,6.0,11.0,5.0,8.5,1.5,6.0,4.0,5.0,1.0,4.166666666666667,0.27777777777777796,4.0,124.0,145.0,21.0,134.16666666666666,6.833333333333333,124.0,1.55,1.93,0.3799999999999999,1.7933333333333332,0.12555555555555556,1.55,1.0,2.0,1.0,1.6666666666666667,0.44444444444444436,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,5.0,6.833333333333333,1.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,5.0,8.5,1.5,6.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.1666666666666665,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,3.5,1.5,1.0,10.245,16.33,6.084999999999999,11.550431034483331,1.5931896551722209,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.7091398034482759,0.746951464367816,0.0,194.0,229.0,35.0,219.83333333333334,9.555555555555552,194.0
Al0.02CoCrFeMnNi,1,Al0.02 Co1 Cr1 Fe1 Mn1 Ni1,6,0.44544968494623643,0.3406328403711917,0.2748465461429921,0.25069700211989504,0.23398783726852967,13.0,28.0,15.0,25.948207171314742,1.2571229028110664,24.0,49.0,73.0,24.0,55.07171314741037,3.671370295709594,49.0,26.9815386,58.933195,31.951656399999997,55.96521330119522,2.269389799844446,51.9961,933.47,2180.0,1246.53,1797.7429083665338,157.57537181949493,1519.0,6.0,13.0,7.0,8.0199203187251,1.2190282693925496,6.0,3.0,4.0,1.0,3.99601593625498,0.007936381962191073,4.0,121.0,139.0,18.0,131.9561752988048,5.630069363978348,124.0,1.55,1.91,0.3599999999999999,1.765378486055777,0.12902969794130248,1.55,1.0,2.0,1.0,1.800796812749004,0.3190425548800813,1.0,0.0,1.0,1.0,0.003984063745019921,0.007936381962191078,0.0,0.0,8.0,8.0,6.175298804780877,1.0555388009714133,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.980079681274901,1.2190282693925492,6.0,0.0,1.0,1.0,0.19920318725099603,0.3190425548800813,0.0,0.0,5.0,5.0,0.019920318725099605,0.039681909810955394,0.0,0.0,5.0,5.0,3.7848605577689245,1.053951524578975,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.003984063745021,1.199980952683291,2.0,10.245,16.48,6.235000000000001,10.617965379860557,0.31924698513214084,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.8475774543206486,0.7824617893859376,0.0,194.0,229.0,35.0,218.82470119521915,10.617291789019218,194.0
Al0.03CoCrFeMnNi,1,Al0.03 Co1 Cr1 Fe1 Mn1 Ni1,6,0.4445863249627245,0.33995606851448523,0.2743001317698433,0.2501985985372988,0.23352265270139538,13.0,28.0,15.0,25.92246520874751,1.2853297708777165,24.0,49.0,73.0,24.0,55.10735586481113,3.7065875126971766,49.0,26.9815386,58.933195,31.951656399999997,55.90759168151093,2.3107004520787777,51.9961,933.47,2180.0,1246.53,1796.024671968191,158.6284914765878,1519.0,6.0,13.0,7.0,8.029821073558647,1.2284147994735364,6.0,3.0,4.0,1.0,3.99403578528827,0.011857285709204204,4.0,121.0,139.0,18.0,131.93439363817097,5.644858483295061,124.0,1.55,1.91,0.3599999999999999,1.76506958250497,0.12914165108751072,1.55,1.0,2.0,1.0,1.8011928429423458,0.3185657427206147,1.0,0.0,1.0,1.0,0.005964214711729622,0.011857285709204019,0.0,0.0,8.0,8.0,6.163021868787276,1.063203285258627,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.970178926441352,1.2284147994735366,6.0,0.0,1.0,1.0,0.19880715705765406,0.3185657427206146,0.0,0.0,5.0,5.0,0.02982107355864811,0.05928642854602009,0.0,0.0,5.0,5.0,3.7773359840954273,1.0608318281167863,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.005964214711729,1.1999573137714468,2.0,10.245,16.48,6.235000000000001,10.629619524234593,0.33251386314265535,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.8458924096798519,0.7822461950856049,0.0,194.0,229.0,35.0,218.8369781312127,10.605946824026026,194.0
Al0.04CoCrFeMnNi,1,Al0.04 Co1 Cr1 Fe1 Mn1 Ni1,6,0.4437352618569639,0.3392823893934406,0.27375588633186254,0.2497021727475631,0.23305931410476569,13.0,28.0,15.0,25.896825396825392,1.3133030990173857,24.0,49.0,73.0,24.0,55.142857142857146,3.7414965986394564,49.0,26.9815386,58.933195,31.951656399999997,55.85019871904762,2.351665699168555,51.9961,933.47,2180.0,1246.53,1794.3132539682538,159.67202066011586,1519.0,6.0,13.0,7.0,8.03968253968254,1.2377173091458806,6.0,3.0,4.0,1.0,3.992063492063492,0.015747039556563338,4.0,121.0,139.0,18.0,131.9126984126984,5.659486016628875,124.0,1.55,1.91,0.3599999999999999,1.7647619047619045,0.12925170068027214,1.55,1.0,2.0,1.0,1.8015873015873016,0.31809019904257996,1.0,0.0,1.0,1.0,0.007936507936507936,0.015747039556563366,0.0,0.0,8.0,8.0,6.150793650793651,1.0707986898463089,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.96031746031746,1.2377173091458809,6.0,0.0,1.0,1.0,0.1984126984126984,0.31809019904257996,0.0,0.0,5.0,5.0,0.03968253968253969,0.07873519778281685,0.0,0.0,5.0,5.0,3.7698412698412698,1.0676492819349963,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.007936507936508,1.1999244142101284,2.0,10.245,16.48,6.235000000000001,10.641227422003968,0.3456730393301211,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.844214051724138,0.7820261494252875,0.0,194.0,229.0,35.0,218.84920634920636,10.594608213655832,194.0
Al0.08CoCrFeMnNi,1,Al0.08 Co1 Cr1 Fe1 Mn1 Ni1,6,0.4404524809747085,0.3366209275321897,0.271600362658483,0.24773601405431142,0.23122420139532895,13.0,28.0,15.0,25.795275590551178,1.4229028458056923,24.0,49.0,73.0,24.0,55.28346456692914,3.8781077562155133,49.0,26.9815386,58.933195,31.951656399999997,55.62288643464567,2.5995809827019634,51.9961,933.47,2180.0,1246.53,1787.534960629921,163.75199950399895,1519.0,6.0,13.0,7.0,8.078740157480315,1.2741025482050965,6.0,3.0,4.0,1.0,3.9842519685039375,0.031000062000123542,4.0,121.0,139.0,18.0,131.82677165354332,5.716411432822864,124.0,1.55,1.91,0.3599999999999999,1.7635433070866142,0.1296732593465187,1.55,1.0,2.0,1.0,1.8031496062992125,0.31620063240126484,1.0,0.0,1.0,1.0,0.015748031496062992,0.031000062000124,0.0,0.0,8.0,8.0,6.102362204724409,1.1005022010044019,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.921259842519685,1.2741025482050965,6.0,0.0,1.0,1.0,0.19685039370078738,0.31620063240126484,0.0,0.0,5.0,5.0,0.07874015748031496,0.15500031000061998,0.0,0.0,5.0,5.0,3.7401574803149606,1.0943021886043771,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.015748031496063,1.1997023994047988,2.0,10.245,16.48,6.235000000000001,10.687202009232283,0.39725189795151605,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.8375666969861526,0.7811026007983051,0.0,194.0,229.0,35.0,218.89763779527559,10.5493210986422,194.0
Al0.09CoCrFeMnNi,2,Al0.09 Co1 Cr1 Fe1 Mn1 Ni1,6,0.43966177988468225,0.3359644494045458,0.2710667951567167,0.24724930301800482,0.2307699298799289,13.0,28.0,15.0,25.77013752455796,1.4497396567096772,24.0,49.0,73.0,24.0,55.31827111984283,3.911518019461095,49.0,26.9815386,58.933195,31.951656399999997,55.56661659607072,2.660803619562993,51.9961,933.47,2180.0,1246.53,1785.8570333988214,164.74889320328396,1519.0,6.0,13.0,7.0,8.088408644400786,1.2829964374076062,6.0,3.0,4.0,1.0,3.982318271119843,0.03473817068793158,4.0,121.0,139.0,18.0,131.80550098231828,5.7302542448114675,124.0,1.55,1.91,0.3599999999999999,1.7632416502946955,0.12977408609662616,1.55,1.0,2.0,1.0,1.8035363457760314,0.315731373585867,1.0,0.0,1.0,1.0,0.01768172888015717,0.03473817068793158,0.0,0.0,8.0,8.0,6.090373280943026,1.107761665270707,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.911591355599214,1.2829964374076062,6.0,0.0,1.0,1.0,0.19646365422396858,0.315731373585867,0.0,0.0,5.0,5.0,0.08840864440078584,0.1736908534396579,0.0,0.0,5.0,5.0,3.732809430255403,1.1008140311331205,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.017681728880157,1.1996248277565704,2.0,10.245,16.48,6.235000000000001,10.698582751846759,0.4098868560472596,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.8359211828466906,0.780861152969202,0.0,194.0,229.0,35.0,218.90962671905697,10.5380170680212,194.0
Al0.10CoCrFeMnNi,2,Al0.1 Co1 Cr1 Fe1 Mn1 Ni1,6,0.4388829271686156,0.3353117524459007,0.27053533595149765,0.24676450083088985,0.23031743982164085,13.0,28.0,15.0,25.74509803921569,1.476355247981545,24.0,49.0,73.0,24.0,55.352941176470594,3.9446366782006934,49.0,26.9815386,58.933195,31.951656399999997,55.51056742352941,2.7215265605536327,51.9961,933.47,2180.0,1246.53,1784.1856862745099,165.7367166474433,1519.0,6.0,13.0,7.0,8.098039215686274,1.2918108419838523,6.0,3.0,4.0,1.0,3.9803921568627456,0.03844675124951892,4.0,121.0,139.0,18.0,131.78431372549022,5.743944636678196,124.0,1.55,1.91,0.3599999999999999,1.7629411764705882,0.1298731257208766,1.55,1.0,2.0,1.0,1.803921568627451,0.3152633602460592,1.0,0.0,1.0,1.0,0.019607843137254905,0.03844675124951943,0.0,0.0,8.0,8.0,6.07843137254902,1.1149557862360633,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.901960784313726,1.2918108419838523,6.0,0.0,1.0,1.0,0.19607843137254904,0.3152633602460592,0.0,0.0,5.0,5.0,0.09803921568627452,0.1922337562475971,0.0,0.0,5.0,5.0,3.7254901960784315,1.107266435986159,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.019607843137255,1.1995386389850058,2.0,10.245,16.48,6.235000000000001,10.70991886409804,0.4224197589780856,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.8342821217038541,0.7806155908205069,0.0,194.0,229.0,35.0,218.921568627451,10.526720492118415,194.0
Al0.11CoCrFeMnNi,2,Al0.11 Co1 Cr1 Fe1 Mn1 Ni1,6,0.4381158483007194,0.33466294815668923,0.270005978529831,0.24628159640877706,0.22986672076205716,13.0,28.0,15.0,25.720156555772995,1.5027515979182062,24.0,49.0,73.0,24.0,55.38747553816046,3.977466385315618,49.0,26.9815386,58.933195,31.951656399999997,55.45473762152641,2.7817542604386465,51.9961,933.47,2180.0,1246.53,1782.5208806262233,166.7155533258528,1519.0,6.0,13.0,7.0,8.107632093933463,1.3005464899414445,6.0,3.0,4.0,1.0,3.9784735812133065,0.04212606416182605,4.0,121.0,139.0,18.0,131.76320939334636,5.757484078262571,124.0,1.55,1.91,0.3599999999999999,1.7626418786692757,0.12997039686582085,1.55,1.0,2.0,1.0,1.8043052837573386,0.3147965885547313,1.0,0.0,1.0,1.0,0.021526418786692758,0.042126064161825356,0.0,0.0,8.0,8.0,6.066536203522505,1.1220851635831663,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.892367906066536,1.3005464899414447,6.0,0.0,1.0,1.0,0.19569471624266144,0.3147965885547313,0.0,0.0,5.0,5.0,0.1076320939334638,0.21063032080912683,0.0,0.0,5.0,5.0,3.718199608610567,1.1136599507508014,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.021526418786693,1.199443935953064,2.0,10.245,16.48,6.235000000000001,10.721210608003913,0.43485151354666995,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.8326494756731223,0.7803659681619395,0.0,194.0,229.0,35.0,218.93346379647747,10.515431543230921,194.0
Al0.125CoCrCuFeMnNiTiV,1,Al0.125 Co1 Cr1 Cu1 Fe1 Mn1 Ni1 Ti1 V1,9,0.3484538970124962,0.2461738765751368,0.186549873588751,0.16564925588832344,0.15152546625959984,13.0,29.0,16.0,25.307692307692307,2.158579881656805,22.0,43.0,73.0,30.0,53.8,6.203076923076923,43.0,26.9815386,63.546,36.5644614,54.90866859384616,4.286103884497041,47.867,933.47,2183.0,1249.53,1797.471230769231,227.72063431952662,1357.77,4.0,13.0,9.0,7.584615384615384,2.0525443786982245,4.0,3.0,4.0,1.0,3.9846153846153847,0.030295857988165628,4.0,121.0,160.0,39.0,137.86153846153846,9.736331360946744,124.0,1.54,1.91,0.3699999999999999,1.7355384615384615,0.14223905325443786,1.54,1.0,2.0,1.0,1.7538461538461538,0.3711242603550296,1.0,0.0,1.0,1.0,0.015384615384615385,0.030295857988165684,0.0,0.0,10.0,10.0,5.661538461538462,2.0563313609467455,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,7.430769230769231,2.0373964497041417,4.0,0.0,1.0,1.0,0.24615384615384617,0.3711242603550296,0.0,0.0,5.0,5.0,0.07692307692307693,0.15147928994082838,0.0,0.0,8.0,8.0,4.184615384615385,2.0336094674556215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,4.507692307692308,1.9768047337278105,1.0,10.245,16.69,6.445000000000002,11.791087533156924,1.650200367271764,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.5236752435720602,0.6605545770544787,0.0,194.0,229.0,35.0,217.86153846153846,11.959289940828404,194.0
Al0.125CoCrCuFeNiTiMnV,1,Al0.125 Co1 Cr1 Cu1 Fe1 Ni1 Ti1 Mn1 V1,9,0.3484538970124962,0.2461738765751368,0.186549873588751,0.16564925588832344,0.15152546625959984,13.0,29.0,16.0,25.307692307692307,2.158579881656805,22.0,43.0,73.0,30.0,53.8,6.203076923076923,43.0,26.9815386,63.546,36.5644614,54.908668593846166,4.286103884497039,47.867,933.47,2183.0,1249.53,1797.471230769231,227.72063431952662,1357.77,4.0,13.0,9.0,7.584615384615384,2.0525443786982245,4.0,3.0,4.0,1.0,3.9846153846153847,0.030295857988165628,4.0,121.0,160.0,39.0,137.86153846153846,9.736331360946744,124.0,1.54,1.91,0.3699999999999999,1.7355384615384615,0.14223905325443786,1.54,1.0,2.0,1.0,1.7538461538461538,0.3711242603550296,1.0,0.0,1.0,1.0,0.015384615384615385,0.030295857988165684,0.0,0.0,10.0,10.0,5.661538461538462,2.0563313609467455,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,7.430769230769231,2.0373964497041417,4.0,0.0,1.0,1.0,0.24615384615384617,0.3711242603550296,0.0,0.0,5.0,5.0,0.07692307692307693,0.15147928994082838,0.0,0.0,8.0,8.0,4.184615384615385,2.0336094674556215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,4.507692307692308,1.9768047337278105,1.0,10.245,16.69,6.445000000000002,11.791087533156924,1.650200367271764,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.5236752435720602,0.6605545770544787,0.0,194.0,229.0,35.0,217.86153846153846,11.959289940828404,194.0
Al0.12CoCrFeMnNi,2,Al0.12 Co1 Cr1 Fe1 Mn1 Ni1,6,0.43736046882120017,0.3340181471126858,0.26947871772305576,0.2458005788136543,0.2294177623247197,13.0,28.0,15.0,25.6953125,1.5289306640625,24.0,49.0,73.0,24.0,55.421875,4.010009765625,49.0,26.9815386,58.933195,31.951656399999997,55.399125904687494,2.8414911273193355,51.9961,933.47,2180.0,1246.53,1780.862578125,167.68548583984375,1519.0,6.0,13.0,7.0,8.1171875,1.3092041015625,6.0,3.0,4.0,1.0,3.9765625,0.0457763671875,4.0,121.0,139.0,18.0,131.7421875,5.7708740234375,124.0,1.55,1.91,0.3599999999999999,1.7623437499999999,0.13006591796875,1.55,1.0,2.0,1.0,1.8046875,0.3143310546875,1.0,0.0,1.0,1.0,0.0234375,0.0457763671875,0.0,0.0,8.0,8.0,6.0546875,1.129150390625,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.8828125,1.3092041015625,6.0,0.0,1.0,1.0,0.1953125,0.3143310546875,0.0,0.0,5.0,5.0,0.1171875,0.2288818359375,0.0,0.0,5.0,5.0,3.7109375,1.1199951171875,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.0234375,1.1993408203125,2.0,10.245,16.48,6.235000000000001,10.732458243535156,0.4481432684533689,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.8310232071659482,0.780112338151603,0.0,194.0,229.0,35.0,218.9453125,10.504150390625,194.0
Al0.14CoCrFeMnNi,2,Al0.14 Co1 Cr1 Fe1 Mn1 Ni1,6,0.43588451052412974,0.33274099242613114,0.2684304726955925,0.24484416119561786,0.2285250862171151,13.0,28.0,15.0,25.645914396887154,1.580644672894367,24.0,49.0,73.0,24.0,55.490272373540854,4.074247906857029,49.0,26.9815386,58.933195,31.951656399999997,55.288551635019445,2.9595097645687294,51.9961,933.47,2180.0,1246.53,1777.5653307392993,169.59896440521422,1519.0,6.0,13.0,7.0,8.136186770428015,1.3262880588653876,6.0,3.0,4.0,1.0,3.972762645914397,0.05299096125603709,4.0,121.0,139.0,18.0,131.70038910505835,5.797211161410471,124.0,1.55,1.91,0.3599999999999999,1.7617509727626455,0.13025178276733945,1.55,1.0,2.0,1.0,1.8054474708171206,0.31340368514284844,1.0,0.0,1.0,1.0,0.027237354085603113,0.052990961256037195,0.0,0.0,8.0,8.0,6.03112840466926,1.1430907356659445,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.863813229571984,1.3262880588653878,6.0,0.0,1.0,1.0,0.19455252918287935,0.31340368514284844,0.0,0.0,5.0,5.0,0.13618677042801555,0.26495480628018586,0.0,0.0,5.0,5.0,3.696498054474708,1.1324925434147375,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.027237354085602,1.1991097518508984,2.0,10.245,16.48,6.235000000000001,10.754822219241245,0.4812072646167236,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.8277896538306722,0.7795932655014223,0.0,194.0,229.0,35.0,218.9688715953307,10.48161213644416,194.0
Al0.15CoCrFeMnNi,2,Al0.15 Co1 Cr1 Fe1 Mn1 Ni1,6,0.4351637831265042,0.33210885528730394,0.2679094858960392,0.2443687402093041,0.2280813481987355,13.0,28.0,15.0,25.621359223300967,1.6061834291639179,24.0,49.0,73.0,24.0,55.52427184466019,4.105947780186633,49.0,26.9815386,58.933195,31.951656399999997,55.23358656116504,3.0178001229145064,51.9961,933.47,2180.0,1246.53,1775.9263106796116,170.54267131680646,1519.0,6.0,13.0,7.0,8.145631067961165,1.3347158073333962,6.0,3.0,4.0,1.0,3.9708737864077666,0.056555754548025666,4.0,121.0,139.0,18.0,131.6796116504854,5.810161183900465,124.0,1.55,1.91,0.3599999999999999,1.7614563106796113,0.13034216231501558,1.55,1.0,2.0,1.0,1.8058252427184467,0.31294184183240636,1.0,0.0,1.0,1.0,0.029126213592233007,0.05655575454802524,0.0,0.0,8.0,8.0,6.019417475728155,1.1499670091431802,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,7.0,7.854368932038835,1.3347158073333962,6.0,0.0,1.0,1.0,0.1941747572815534,0.31294184183240636,0.0,0.0,5.0,5.0,0.14563106796116504,0.2827787727401262,0.0,0.0,5.0,5.0,3.6893203883495143,1.1386558582335753,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,4.0291262135922326,1.1989819964181354,2.0,10.245,16.48,6.235000000000001,10.76593906930097,0.49754177487529394,10.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1106628,2.1106628,0.8261822952795447,0.7793279259964702,0.0,194.0,229.0,35.0,218.98058252427182,10.470355358657747,194.0
